"date","price"
"2000-01-03",806.355041503906
"2000-01-04",765.140502929688
"2000-01-05",766.958679199219
"2000-01-06",790.354309082031
"2000-01-07",849.50927734375
"2000-01-10",834.47802734375
"2000-01-11",820.901794433594
"2000-01-12",845.630493164062
"2000-01-13",868.904724121094
"2000-01-14",884.905456542969
"2000-01-18",840.781555175781
"2000-01-19",824.295654296875
"2000-01-20",817.264709472656
"2000-01-21",806.355041503906
"2000-01-24",787.929504394531
"2000-01-25",798.597106933594
"2000-01-26",818.477172851562
"2000-01-27",816.53759765625
"2000-01-28",791.323364257812
"2000-01-31",809.749206542969
"2000-02-01",794.233154296875
"2000-02-02",793.748229980469
"2000-02-03",785.990173339844
"2000-02-04",781.6259765625
"2000-02-07",757.382507324219
"2000-02-08",744.290466308594
"2000-02-09",754.958312988281
"2000-02-10",731.683410644531
"2000-02-11",735.5625
"2000-02-14",726.834594726562
"2000-02-15",748.169250488281
"2000-02-16",729.259399414062
"2000-02-17",718.592102050781
"2000-02-18",693.863098144531
"2000-02-22",673.013061523438
"2000-02-23",663.3154296875
"2000-02-24",644.89013671875
"2000-02-25",648.769104003906
"2000-02-28",676.407470703125
"2000-02-29",686.104919433594
"2000-03-01",695.225708007812
"2000-03-02",675.334045410156
"2000-03-03",678.245422363281
"2000-03-06",657.868957519531
"2000-03-07",632.15576171875
"2000-03-08",644.284362792969
"2000-03-09",643.799499511719
"2000-03-10",644.284362792969
"2000-03-13",669.512878417969
"2000-03-14",665.631164550781
"2000-03-15",709.780395507812
"2000-03-16",775.761474609375
"2000-03-17",755.870239257812
"2000-03-20",768.484069824219
"2000-03-21",780.128051757812
"2000-03-22",772.365295410156
"2000-03-23",809.722045898438
"2000-03-24",835.435363769531
"2000-03-27",808.266479492188
"2000-03-28",809.722045898438
"2000-03-29",826.217224121094
"2000-03-30",843.682861328125
"2000-03-31",849.990051269531
"2000-04-03",913.060241699219
"2000-04-04",891.712951660156
"2000-04-05",852.901000976562
"2000-04-06",863.089111328125
"2000-04-07",844.168029785156
"2000-04-10",878.128784179688
"2000-04-11",899.9609375
"2000-04-12",897.53515625
"2000-04-13",880.06982421875
"2000-04-14",837.375793457031
"2000-04-17",788.860656738281
"2000-04-18",816.514526367188
"2000-04-19",815.058532714844
"2000-04-20",841.257263183594
"2000-04-24",868.425659179688
"2000-04-25",892.683410644531
"2000-04-26",884.921325683594
"2000-04-27",858.237182617188
"2000-04-28",851.445434570312
"2000-05-01",854.356384277344
"2000-05-02",869.396301269531
"2000-05-03",850.474914550781
"2000-05-04",853.87109375
"2000-05-05",866.000183105469
"2000-05-08",897.049743652344
"2000-05-09",884.921325683594
"2000-05-10",887.346557617188
"2000-05-11",896.079223632812
"2000-05-12",891.955871582031
"2000-05-15",934.891784667969
"2000-05-16",952.357299804688
"2000-05-17",916.941162109375
"2000-05-18",920.822143554688
"2000-05-19",903.356689453125
"2000-05-22",928.584716796875
"2000-05-23",881.525024414062
"2000-05-24",892.683410644531
"2000-05-25",889.772338867188
"2000-05-26",881.525024414062
"2000-05-30",883.465515136719
"2000-05-31",874.146606445312
"2000-06-01",910.548828125
"2000-06-02",921.226989746094
"2000-06-05",898.900329589844
"2000-06-06",905.695495605469
"2000-06-07",928.022277832031
"2000-06-08",928.992858886719
"2000-06-09",912.976135253906
"2000-06-12",928.264770507812
"2000-06-13",949.863708496094
"2000-06-14",943.55419921875
"2000-06-15",957.144470214844
"2000-06-16",916.373718261719
"2000-06-19",913.461608886719
"2000-06-20",893.561096191406
"2000-06-21",899.385681152344
"2000-06-22",895.502502441406
"2000-06-23",913.946411132812
"2000-06-26",913.461608886719
"2000-06-27",927.051513671875
"2000-06-28",936.637634277344
"2000-06-29",950.349243164062
"2000-06-30",912.490417480469
"2000-07-03",920.25634765625
"2000-07-05",936.759155273438
"2000-07-06",929.478637695312
"2000-07-07",945.494995117188
"2000-07-10",944.03955078125
"2000-07-11",943.068603515625
"2000-07-12",942.583435058594
"2000-07-13",933.846862792969
"2000-07-14",930.934509277344
"2000-07-17",927.051513671875
"2000-07-18",925.595458984375
"2000-07-19",926.080810546875
"2000-07-20",946.466247558594
"2000-07-21",917.829345703125
"2000-07-24",926.080810546875
"2000-07-25",961.027526855469
"2000-07-26",969.764099121094
"2000-07-27",1007.62225341797
"2000-07-28",996.459289550781
"2000-07-31",1021.45526123047
"2000-08-01",1025.095703125
"2000-08-02",998.886352539062
"2000-08-03",1007.62225341797
"2000-08-04",1032.3759765625
"2000-08-07",1036.74462890625
"2000-08-08",1036.74462890625
"2000-08-09",1022.18334960938
"2000-08-10",1005.43835449219
"2000-08-11",1009.07873535156
"2000-08-14",1021.45526123047
"2000-08-15",1010.53479003906
"2000-08-16",1003.98272705078
"2000-08-17",1019.27142333984
"2000-08-18",1012.71917724609
"2000-08-21",1024.36791992188
"2000-08-22",1017.81524658203
"2000-08-23",1003.98272705078
"2000-08-24",986.508911132812
"2000-08-25",985.052856445312
"2000-08-28",1009.07873535156
"2000-08-29",1003.98272705078
"2000-08-30",1019.70928955078
"2000-08-31",1038.82861328125
"2000-09-01",1031.36279296875
"2000-09-05",1032.81982421875
"2000-09-06",1022.62225341797
"2000-09-07",1011.69714355469
"2000-09-08",1035.00463867188
"2000-09-11",1067.05261230469
"2000-09-12",1080.7099609375
"2000-09-13",1069.23779296875
"2000-09-14",1072.15148925781
"2000-09-15",1051.75659179688
"2000-09-18",1029.90637207031
"2000-09-19",1050.29956054688
"2000-09-20",1032.09118652344
"2000-09-21",1033.54809570312
"2000-09-22",1065.59606933594
"2000-09-25",1077.25
"2000-09-26",1075.06457519531
"2000-09-27",1085.26171875
"2000-09-28",1104.19934082031
"2000-09-29",1115.12475585938
"2000-10-02",1125.32189941406
"2000-10-03",1119.49536132812
"2000-10-04",1115.85314941406
"2000-10-05",1118.76647949219
"2000-10-06",1091.08911132812
"2000-10-09",1087.44653320312
"2000-10-10",1082.34838867188
"2000-10-11",1096.91589355469
"2000-10-12",1050.29956054688
"2000-10-13",1080.16296386719
"2000-10-16",1077.97802734375
"2000-10-17",1069.23779296875
"2000-10-18",1084.53369140625
"2000-10-19",1102.74267578125
"2000-10-20",1107.8408203125
"2000-10-23",1112.21130371094
